Best L-test value: 7.60989871732

Latitude and longitude: 22.9038, 120.4642; model output: 0.109342872179
Latitude and longitude not available, model output: 0.44997173159
Latitude and longitude not available, model output: 0.106403183547
Latitude and longitude not available, model output: 0.22740858098
Latitude and longitude not available, model output: 0.844806182098
Latitude and longitude not available, model output: 0.075073025866
Latitude and longitude not available, model output: 0.0457829945103
Latitude and longitude not available, model output: 0.893717808311
Latitude and longitude not available, model output: 0.165858032463
Latitude and longitude not available, model output: 0.123264065702
Latitude and longitude not available, model output: 0.270875975392
Latitude and longitude not available, model output: 0.10034037428
Latitude and longitude not available, model output: 0.775313554406
Latitude and longitude not available, model output: 0.758931892321
Latitude and longitude not available, model output: 0.845165450567
Latitude and longitude not available, model output: 0.663616891958
Latitude and longitude not available, model output: 0.452280868595
Latitude and longitude not available, model output: 0.643196296956
Latitude and longitude not available, model output: 0.180330014208
Latitude and longitude not available, model output: 0.650471156903
Latitude and longitude not available, model output: 0.546389904001
Latitude and longitude: 27.0585, 127.9887; model output: 0.154554731037
Latitude and longitude not available, model output: 0.834668151951
Latitude and longitude not available, model output: 0.0173490364199
Latitude and longitude not available, model output: 0.224319938907
Latitude and longitude not available, model output: 0.4869914294
Latitude and longitude not available, model output: 0.198033202378
Latitude and longitude not available, model output: 0.0169675616331
Latitude and longitude not available, model output: 0.728270001801
Latitude and longitude not available, model output: 0.00185787101026
Latitude and longitude not available, model output: 0.195860264188
Latitude and longitude not available, model output: 0.959503499251
Latitude and longitude not available, model output: 0.591353474596
Latitude and longitude not available, model output: 0.971253136071
Latitude and longitude not available, model output: 0.911802048228
Latitude and longitude not available, model output: 0.819618325617
Latitude and longitude not available, model output: 0.928373623234
Latitude and longitude not available, model output: 0.644455824912
Latitude and longitude not available, model output: 0.168570809027
Latitude and longitude not available, model output: 0.0307564031916
Latitude and longitude not available, model output: 0.347198529232
Latitude and longitude not available, model output: 0.0906008306364
Latitude and longitude not available, model output: 0.913627306752
Latitude and longitude not available, model output: 0.497479651357
Latitude and longitude not available, model output: 0.272539843504
Latitude and longitude not available, model output: 0.531998077335
Latitude and longitude not available, model output: 0.435366848787
Latitude and longitude not available, model output: 0.494792448827
Latitude and longitude not available, model output: 0.378728609791
Latitude and longitude not available, model output: 0.688267730912
Latitude and longitude not available, model output: 0.260325414853
Latitude and longitude not available, model output: 0.790179797871
Latitude and longitude not available, model output: 0.591750053392
Latitude and longitude not available, model output: 0.685263106707
Latitude and longitude not available, model output: 0.413388810377
Latitude and longitude not available, model output: 0.175807540532
Latitude and longitude not available, model output: 0.316310208379
Latitude and longitude not available, model output: 0.0736361961583
Latitude and longitude not available, model output: 0.704819467951
Latitude and longitude not available, model output: 0.871720190843
Latitude and longitude not available, model output: 0.392592445183
Latitude and longitude not available, model output: 0.0841619285164
Latitude and longitude: 29.1538, 129.2127; model output: 0.51978410616
Latitude and longitude not available, model output: 0.370730236373
Latitude and longitude not available, model output: 0.763511186703
Latitude and longitude not available, model output: 0.763462515279
Latitude and longitude not available, model output: 0.787825914206
Latitude and longitude not available, model output: 0.46516804756
Latitude and longitude not available, model output: 0.692071402144
Latitude and longitude not available, model output: 0.972294847376
Latitude and longitude not available, model output: 0.0285470324809
Latitude and longitude not available, model output: 0.478398938324
Latitude and longitude not available, model output: 0.282315688248
Latitude and longitude not available, model output: 0.839634962028
Latitude and longitude not available, model output: 0.110983305904
Latitude and longitude not available, model output: 0.338970807295
Latitude and longitude: 29.6037, 129.7150; model output: 0.6220631617
Latitude and longitude not available, model output: 0.759707401999
Latitude and longitude not available, model output: 0.0484277575547
Latitude and longitude not available, model output: 0.820113844774
Latitude and longitude not available, model output: 0.100701926602
Latitude and longitude not available, model output: 0.00761630509477
Latitude and longitude not available, model output: 0.364026967251
Latitude and longitude not available, model output: 0.025739379696
Latitude and longitude not available, model output: 0.860490675844
Latitude and longitude not available, model output: 0.252466988325
Latitude and longitude not available, model output: 0.658129705618
Latitude and longitude not available, model output: 0.924422860692
Latitude and longitude not available, model output: 0.809858797222
Latitude and longitude not available, model output: 0.206165062838
Latitude and longitude not available, model output: 0.748825085282
Latitude and longitude not available, model output: 0.213972391112
Latitude and longitude not available, model output: 0.705753340369
Latitude and longitude not available, model output: 0.19720648041
Latitude and longitude not available, model output: 0.832741847568
Latitude and longitude not available, model output: 0.712048664222
Latitude and longitude not available, model output: 0.301468739998
Latitude and longitude not available, model output: 0.470831161755
Latitude and longitude not available, model output: 0.079318379857
Latitude and longitude not available, model output: 0.388982151848
Latitude and longitude not available, model output: 0.37271730248
Latitude and longitude not available, model output: 0.867839900517
Latitude and longitude not available, model output: 0.310854517066
Latitude and longitude not available, model output: 0.959223453921
Latitude and longitude not available, model output: 0.0832030741413
Latitude and longitude not available, model output: 0.315429310255
Latitude and longitude not available, model output: 0.319803795735
Latitude and longitude: 30.3885, 130.9842; model output: 0.474684171731
Latitude and longitude not available, model output: 0.825485523421
Latitude and longitude: 30.5093, 130.9570; model output: 0.84353040474
Latitude and longitude not available, model output: 0.249768513924
Latitude and longitude not available, model output: 0.124851878922
Latitude and longitude not available, model output: 0.805943881038
Latitude and longitude not available, model output: 0.203524774469
Latitude and longitude not available, model output: 0.318041202412
Latitude and longitude not available, model output: 0.269095785613
Latitude and longitude not available, model output: 0.405382315482
Latitude and longitude: 33.2747, 129.0790; model output: 0.0833081056056
Latitude and longitude not available, model output: 0.238694025157
Latitude and longitude: 31.8523, 130.2902; model output: 0.788895861081
Latitude and longitude not available, model output: 0.862041354634
Latitude and longitude: 32.0055, 130.2707; model output: 0.383035543539
Latitude and longitude: 31.9707, 130.3328; model output: 0.737312644943
Latitude and longitude: 31.9707, 130.4242; model output: 0.238094232157
Latitude and longitude: 31.9670, 130.4543; model output: 0.542979889303
Latitude and longitude: 32.1353, 130.3788; model output: 0.940510948099
Latitude and longitude not available, model output: 0.104034892973
Latitude and longitude: 32.0817, 130.5405; model output: 0.42939581473
Latitude and longitude not available, model output: 0.307681843058
Latitude and longitude not available, model output: 0.0194658272593
Latitude and longitude: 32.8188, 130.0662; model output: 0.821504430294
Latitude and longitude: 32.3200, 130.5282; model output: 0.773072830839
Latitude and longitude not available, model output: 0.048435558356
Latitude and longitude: 31.9703, 130.9600; model output: 0.548272455355
Latitude and longitude: 32.0612, 130.9238; model output: 0.240400244072
Latitude and longitude: 32.4875, 130.5858; model output: 0.787813712665
Latitude and longitude: 32.5700, 130.6055; model output: 0.148511553677
Latitude and longitude: 34.4262, 129.2790; model output: 0.843153913935
Latitude and longitude not available, model output: 0.77811537174
Latitude and longitude: 32.6143, 130.7060; model output: 0.23357012197
Latitude and longitude: 32.7932, 130.6312; model output: 0.517145482341
Latitude and longitude: 32.6193, 130.8275; model output: 0.865843899043
Latitude and longitude: 32.6345, 130.8453; model output: 0.776374036962
Latitude and longitude: 33.0742, 130.5462; model output: 0.618198985867
Latitude and longitude: 32.9000, 130.7032; model output: 0.354119372119
Latitude and longitude: 33.2360, 130.4862; model output: 0.85109306318
Latitude and longitude: 33.0245, 130.7210; model output: 0.0135120923872
Latitude and longitude: 32.9200, 130.8550; model output: 0.645745715749
Latitude and longitude: 33.6798, 130.3122; model output: 0.0246783153307
Latitude and longitude: 32.9192, 130.9673; model output: 0.977419745525
Latitude and longitude: 32.9633, 130.9863; model output: 0.512680324746
Latitude and longitude not available, model output: 0.0847463929065
Latitude and longitude not available, model output: 0.0743176952262
Latitude and longitude not available, model output: 0.620012033124
Latitude and longitude not available, model output: 0.432518323664
Latitude and longitude: 33.3748, 130.8672; model output: 0.557880230522
Latitude and longitude: 33.3720, 130.9162; model output: 0.404377418677
Latitude and longitude not available, model output: 0.0422279135883
Latitude and longitude not available, model output: 0.799958962684
Latitude and longitude not available, model output: 0.594602090456
Latitude and longitude not available, model output: 0.631931722383
Latitude and longitude not available, model output: 0.129213437896
Latitude and longitude not available, model output: 0.0684847469581
Latitude and longitude: 33.3112, 131.3468; model output: 0.192138096499
Latitude and longitude not available, model output: 0.909893262232
Latitude and longitude: 33.2888, 131.4557; model output: 0.949509430152
Latitude and longitude: 33.3128, 131.4758; model output: 0.673496083163
Latitude and longitude: 33.3302, 131.4962; model output: 0.0317315945232
Latitude and longitude: 37.6008, 128.7948; model output: 0.564308747622
Latitude and longitude: 32.9240, 132.0023; model output: 0.246478091875
Latitude and longitude: 32.9380, 132.0223; model output: 0.898665814766
Latitude and longitude not available, model output: 0.42684170463
Latitude and longitude: 34.0255, 131.1670; model output: 0.472722117411
Latitude and longitude: 34.0063, 131.2687; model output: 0.18297953406
Latitude and longitude not available, model output: 0.947702462926
Latitude and longitude: 34.3567, 131.0635; model output: 0.0469266187411
Latitude and longitude not available, model output: 0.520225275104
Latitude and longitude not available, model output: 0.26209266089
Latitude and longitude not available, model output: 0.0721128846447
Latitude and longitude not available, model output: 0.921917337286
Latitude and longitude not available, model output: 0.398366463328
Latitude and longitude: 34.1925, 131.4628; model output: 0.14253699741
Latitude and longitude not available, model output: 0.0508954055414
Latitude and longitude: 32.7855, 132.8440; model output: 0.0414707841913
Latitude and longitude not available, model output: 0.161799666593
Latitude and longitude not available, model output: 0.32764713612
Latitude and longitude not available, model output: 0.152774830535
Latitude and longitude: 34.3652, 131.6210; model output: 0.567056006723
Latitude and longitude not available, model output: 0.332131300858
Latitude and longitude not available, model output: 0.646650112008
Latitude and longitude: 34.4000, 131.7000; model output: 0.850782566772
Latitude and longitude not available, model output: 0.231867812761
Latitude and longitude not available, model output: 0.246669954125
Latitude and longitude not available, model output: 0.0523510689949
Latitude and longitude not available, model output: 0.286913204849
Latitude and longitude: 34.2303, 132.0963; model output: 0.0730923033453
Latitude and longitude not available, model output: 0.7739002895
Latitude and longitude not available, model output: 0.984290869403
Latitude and longitude not available, model output: 0.95046137546
Latitude and longitude not available, model output: 0.524997951042
Latitude and longitude not available, model output: 0.648638581233
Latitude and longitude not available, model output: 0.911643072281
Latitude and longitude not available, model output: 0.623988674495
Latitude and longitude not available, model output: 0.261489957906
Latitude and longitude not available, model output: 0.95820335106
Latitude and longitude not available, model output: 0.186695946579
Latitude and longitude not available, model output: 0.715148031704
Latitude and longitude not available, model output: 0.274077299219
Latitude and longitude not available, model output: 0.739793058402
Latitude and longitude not available, model output: 0.279975989877
Latitude and longitude not available, model output: 0.661933570162
Latitude and longitude: 34.1980, 132.8335; model output: 0.52348314679
Latitude and longitude: 34.0207, 133.0510; model output: 0.0772234844183
Latitude and longitude: 33.6568, 133.4618; model output: 0.0695468187777
Latitude and longitude not available, model output: 0.0958636001027
Latitude and longitude: 34.9253, 132.3815; model output: 0.474292151404
Latitude and longitude not available, model output: 0.832945366015
Latitude and longitude not available, model output: 0.877037293599
Latitude and longitude: 33.7777, 133.5792; model output: 0.589716573121
Latitude and longitude: 34.3305, 133.1010; model output: 0.79687360984
Latitude and longitude not available, model output: 0.3447644864
Latitude and longitude not available, model output: 0.227909050437
Latitude and longitude: 34.9085, 132.7200; model output: 0.406991644914
Latitude and longitude not available, model output: 0.700764934503
Latitude and longitude: 35.0955, 132.6677; model output: 0.604973686576
Latitude and longitude: 34.0232, 133.6767; model output: 0.678136543156
Latitude and longitude: 34.9853, 132.8133; model output: 0.480207075983
Latitude and longitude: 34.0952, 133.6770; model output: 0.227652178716
Latitude and longitude: 33.6550, 134.1768; model output: 0.380307241734
Latitude and longitude: 34.8925, 133.0262; model output: 0.370498358372
Latitude and longitude: 35.2105, 132.7975; model output: 0.155202861415
Latitude and longitude not available, model output: 0.669946354585
Latitude and longitude: 35.1158, 133.0043; model output: 0.390064993839
Latitude and longitude: 35.0480, 133.0848; model output: 0.161416038813
Latitude and longitude: 33.7823, 134.3320; model output: 0.916357451386
Latitude and longitude: 33.9322, 134.2320; model output: 0.0053242816859
Latitude and longitude: 34.6067, 133.6112; model output: 0.979587754878
Latitude and longitude: 35.1417, 133.1577; model output: 0.888610796072
Latitude and longitude not available, model output: 0.276259903667
Latitude and longitude not available, model output: 0.17241213454
Latitude and longitude: 33.9043, 134.4943; model output: 0.333741869528
Latitude and longitude: 35.2212, 133.2968; model output: 0.94227683142
Latitude and longitude: 35.2243, 133.3075; model output: 0.362813958503
Latitude and longitude: 35.4315, 133.2025; model output: 0.477779400086
Latitude and longitude: 35.3193, 133.3120; model output: 0.522931877932
Latitude and longitude: 35.3615, 133.3242; model output: 0.855371468197
Latitude and longitude not available, model output: 0.447403634443
Latitude and longitude: 35.3722, 133.4218; model output: 0.726855642878
Latitude and longitude not available, model output: 0.0668961249079
Latitude and longitude not available, model output: 0.543429491319
Latitude and longitude: 34.5565, 134.3007; model output: 0.0541074359626
Latitude and longitude not available, model output: 0.596862380556
Latitude and longitude not available, model output: 0.957821911342
Latitude and longitude: 33.8877, 135.1277; model output: 0.388584722076
Latitude and longitude: 33.5282, 135.5528; model output: 0.143437564347
Latitude and longitude: 33.5313, 135.6012; model output: 0.102850077256
Latitude and longitude: 33.9718, 135.1898; model output: 0.714620580822
Latitude and longitude: 34.0055, 135.1608; model output: 0.935105652927
Latitude and longitude: 33.9965, 135.2423; model output: 0.523893617682
Latitude and longitude: 34.4172, 134.8388; model output: 0.584820281969
Latitude and longitude: 34.0463, 135.2948; model output: 0.282756786301
Latitude and longitude: 34.1998, 135.1617; model output: 0.813253575288
Latitude and longitude: 34.0688, 135.3333; model output: 0.0178567273428
Latitude and longitude: 34.2037, 135.2223; model output: 0.380195486126
Latitude and longitude: 35.5325, 133.9635; model output: 0.555321137536
Latitude and longitude: 34.5553, 134.9607; model output: 0.244741727647
Latitude and longitude: 33.9485, 135.6540; model output: 0.0513571801083
Latitude and longitude: 34.7718, 134.8360; model output: 0.459513075917
Latitude and longitude: 34.2615, 135.4088; model output: 0.377281923307
Latitude and longitude: 34.9657, 134.7207; model output: 0.764280391374
Latitude and longitude not available, model output: 0.619100916355
Latitude and longitude: 34.4415, 135.3438; model output: 0.0682140251466
Latitude and longitude: 34.8612, 134.9700; model output: 0.255279829282
Latitude and longitude not available, model output: 0.969864060333
Latitude and longitude: 35.4587, 134.4895; model output: 0.460523342607
Latitude and longitude: 34.5038, 135.4915; model output: 0.642107570259
Latitude and longitude: 34.7300, 135.2677; model output: 0.576504604173
Latitude and longitude: 34.8857, 135.1597; model output: 0.193594807089
Latitude and longitude not available, model output: 0.81395584737
Latitude and longitude: 34.4763, 135.6747; model output: 0.919723589662
Latitude and longitude: 34.5332, 135.6512; model output: 0.938910432777
Latitude and longitude not available, model output: 0.0329321139488
Latitude and longitude: 34.5805, 135.7195; model output: 0.635623607797
Latitude and longitude: 34.8848, 135.4472; model output: 0.376979379525
Latitude and longitude not available, model output: 0.9628277134
Latitude and longitude: 34.9610, 135.4453; model output: 0.777145541867
Latitude and longitude: 34.9597, 135.4690; model output: 0.666181316088
Latitude and longitude: 35.2482, 135.2412; model output: 0.146668267433
Latitude and longitude: 35.0073, 135.5348; model output: 0.381477153861
Latitude and longitude: 35.2750, 135.2995; model output: 0.747261504126
Latitude and longitude not available, model output: 0.13779543948
Latitude and longitude: 35.0888, 135.5723; model output: 0.9097545524
Latitude and longitude: 35.6708, 135.0355; model output: 0.086637475203
Latitude and longitude: 35.2667, 135.4900; model output: 0.723975843753
Latitude and longitude: 35.1390, 135.6585; model output: 0.249736829339
Latitude and longitude: 35.1462, 135.6678; model output: 0.545060621848
Latitude and longitude not available, model output: 0.640120611297
Latitude and longitude: 35.2645, 135.6583; model output: 0.204329635033
Latitude and longitude not available, model output: 0.391285122792
Latitude and longitude not available, model output: 0.975506118497
Latitude and longitude: 35.2528, 135.7745; model output: 0.761702192037
Latitude and longitude: 35.3085, 135.7755; model output: 0.997533844828
Latitude and longitude: 35.3517, 135.7835; model output: 0.442422837374
Latitude and longitude: 34.7937, 136.4168; model output: 0.12308889469
Latitude and longitude: 35.2712, 135.9355; model output: 0.993481995513
Latitude and longitude not available, model output: 0.980480272775
Latitude and longitude: 35.4000, 135.9000; model output: 0.524766330564
Latitude and longitude: 35.4463, 135.8713; model output: 0.225064766852
Latitude and longitude not available, model output: 0.128900996358
Latitude and longitude: 35.4920, 135.9097; model output: 0.280878855901
Latitude and longitude not available, model output: 0.428552074769
Latitude and longitude: 35.5152, 135.9773; model output: 0.89288377823
Latitude and longitude not available, model output: 0.227656996465
Latitude and longitude: 34.6212, 137.0422; model output: 0.915938448973
Latitude and longitude not available, model output: 0.0677089626462
Latitude and longitude not available, model output: 0.0142120711732
Latitude and longitude: 35.7372, 135.9825; model output: 0.681582959394
Latitude and longitude: 35.4507, 136.3060; model output: 0.926602997583
Latitude and longitude: 35.5000, 136.3000; model output: 0.102747483314
Latitude and longitude: 35.6548, 136.1583; model output: 0.101696993667
Latitude and longitude: 35.1822, 136.7102; model output: 0.146639764191
Latitude and longitude: 35.4240, 136.5020; model output: 0.0030797609208
Latitude and longitude: 35.5740, 136.3957; model output: 0.441437423944
Latitude and longitude: 35.6620, 136.3145; model output: 0.667648331492
Latitude and longitude not available, model output: 0.731641350601
Latitude and longitude: 35.6925, 136.3827; model output: 0.953517805058
Latitude and longitude: 35.6883, 136.4187; model output: 0.298270398911
Latitude and longitude not available, model output: 0.651616207239
Latitude and longitude: 35.4142, 136.7920; model output: 0.502547734593
Latitude and longitude not available, model output: 0.39093489578
Latitude and longitude: 35.9300, 136.3400; model output: 0.0870856792438
Latitude and longitude: 35.9302, 136.3812; model output: 0.497886808224
Latitude and longitude: 35.9753, 136.3820; model output: 0.0875096955773
Latitude and longitude: 36.0545, 136.3432; model output: 0.695395339101
Latitude and longitude: 34.6980, 137.8933; model output: 0.729027196895
Latitude and longitude: 34.7632, 137.8562; model output: 0.520860914785
Latitude and longitude: 35.9140, 136.6000; model output: 0.489227374926
Latitude and longitude: 35.6777, 136.8882; model output: 0.197952965226
Latitude and longitude: 35.7588, 136.8568; model output: 0.445187244979
Latitude and longitude: 35.8988, 136.7605; model output: 0.023729331173
Latitude and longitude: 35.7955, 136.9027; model output: 0.404606003407
Latitude and longitude: 34.8883, 137.9832; model output: 0.343966178142
Latitude and longitude: 35.6512, 137.1252; model output: 0.149559186185
Latitude and longitude: 36.0420, 136.7490; model output: 0.368688369604
Latitude and longitude: 35.7373, 137.1182; model output: 0.172262891508
Latitude and longitude: 35.2100, 137.7480; model output: 0.634049509932
Latitude and longitude: 36.1523, 136.7617; model output: 0.534946734919
Latitude and longitude: 36.2988, 136.6765; model output: 0.724563382763
Latitude and longitude: 34.0535, 139.3818; model output: 0.627918645618
Latitude and longitude: 34.2238, 139.1618; model output: 0.445557832983
Latitude and longitude: 36.3473, 136.7415; model output: 0.0328740020101
Latitude and longitude: 34.9870, 138.2978; model output: 0.177558564972
Latitude and longitude: 35.8842, 137.2905; model output: 0.275452677656
Latitude and longitude: 35.7928, 137.4557; model output: 0.753941940374
Latitude and longitude: 36.3860, 136.8323; model output: 0.0502162054083
Latitude and longitude: 35.9785, 137.3062; model output: 0.0648647190358
Latitude and longitude: 36.2842, 137.0447; model output: 0.602504083085
Latitude and longitude: 35.8558, 137.5507; model output: 0.295291925902
Latitude and longitude: 35.8627, 137.5810; model output: 0.417209933507
Latitude and longitude: 35.9380, 137.5320; model output: 0.652705309581
Latitude and longitude: 35.9298, 137.5653; model output: 0.968800918746
Latitude and longitude: 35.7240, 137.8405; model output: 0.638882369786
Latitude and longitude: 36.1038, 137.4728; model output: 0.0104465898569
Latitude and longitude: 36.1552, 137.4365; model output: 0.528420282956
Latitude and longitude: 36.1645, 137.4790; model output: 0.71410098736
Latitude and longitude: 35.9202, 137.7843; model output: 0.116029375021
Latitude and longitude: 36.1502, 137.5602; model output: 0.910381719909
Latitude and longitude: 35.7775, 138.0385; model output: 0.37543614225
Latitude and longitude not available, model output: 0.279585028489
Latitude and longitude: 36.2480, 137.5852; model output: 0.724573758324
Latitude and longitude: 35.3095, 138.7145; model output: 0.402756078603
Latitude and longitude: 35.9230, 138.0270; model output: 0.266274446446
Latitude and longitude: 37.2297, 136.6888; model output: 0.754005882182
Latitude and longitude: 35.1770, 139.0223; model output: 0.188103372901
Latitude and longitude: 35.2127, 139.0193; model output: 0.485290972433
Latitude and longitude: 36.4515, 137.6218; model output: 0.586643222832
Latitude and longitude: 36.1892, 137.9545; model output: 0.59223046604
Latitude and longitude: 36.1965, 137.9737; model output: 0.0320023203285
Latitude and longitude: 35.4388, 138.8832; model output: 0.711744865836
Latitude and longitude: 36.5528, 137.6468; model output: 0.427528249078
Latitude and longitude: 35.4815, 138.9495; model output: 0.307174447317
Latitude and longitude: 35.4920, 138.9695; model output: 0.0134882567655
Latitude and longitude: 35.4968, 138.9802; model output: 0.85533531285
Latitude and longitude: 36.3960, 137.9838; model output: 0.383788244267
Latitude and longitude: 36.5008, 137.9202; model output: 0.322172549718
Latitude and longitude: 35.8075, 138.7488; model output: 0.656460741724
Latitude and longitude not available, model output: 0.0139551435415
Latitude and longitude: 35.8737, 138.7312; model output: 0.331961476837
Latitude and longitude: 36.8723, 137.6718; model output: 0.939865694591
Latitude and longitude: 37.3127, 137.2500; model output: 0.0945020516414
Latitude and longitude: 36.8295, 137.7830; model output: 0.971269498064
Latitude and longitude not available, model output: 0.109569322303
Latitude and longitude not available, model output: 0.107244110159
Latitude and longitude: 36.5828, 138.2002; model output: 0.134810741762
Latitude and longitude not available, model output: 0.0685851049894
Latitude and longitude not available, model output: 0.079299913973
Latitude and longitude: 35.8125, 139.1870; model output: 0.288723579897
Latitude and longitude not available, model output: 0.984454940649
Latitude and longitude: 36.6620, 138.2965; model output: 0.437457734838
Latitude and longitude not available, model output: 0.51389640358
Latitude and longitude not available, model output: 0.702902317268
Latitude and longitude: 37.0293, 138.0260; model output: 0.708360403312
Latitude and longitude not available, model output: 0.0947174616812
Latitude and longitude: 35.2542, 140.2067; model output: 0.554274275939
Latitude and longitude: 35.9852, 139.2990; model output: 0.892437355398
Latitude and longitude: 36.8273, 138.3923; model output: 0.174084774218
Latitude and longitude: 35.2650, 140.2997; model output: 0.667333378315
Latitude and longitude not available, model output: 0.588623538277
Latitude and longitude: 36.1140, 139.3030; model output: 0.20717255537
Latitude and longitude: 35.3563, 140.3002; model output: 0.664836610726
Latitude and longitude: 35.5433, 140.1015; model output: 0.167324134987
Latitude and longitude: 35.5853, 140.0860; model output: 0.911396787178
Latitude and longitude: 36.8073, 138.6917; model output: 0.641099271059
Latitude and longitude: 36.8140, 138.6975; model output: 0.00283209815156
Latitude and longitude: 36.9632, 138.6003; model output: 0.164974835162
Latitude and longitude: 36.9860, 138.5978; model output: 0.149706116417
Latitude and longitude: 37.0720, 138.5332; model output: 0.166675989627
Latitude and longitude: 37.0527, 138.6167; model output: 0.462618255379
Latitude and longitude: 37.0228, 138.6887; model output: 0.0276099047636
Latitude and longitude: 37.0277, 138.7087; model output: 0.116529085117
Latitude and longitude not available, model output: 0.291748412187
Latitude and longitude: 37.1483, 138.6453; model output: 0.259021939262
Latitude and longitude: 37.2388, 138.5837; model output: 0.393872269765
Latitude and longitude: 37.1695, 138.7027; model output: 0.0926868925769
Latitude and longitude: 37.1532, 138.7433; model output: 0.079131543382
Latitude and longitude: 37.1432, 138.8193; model output: 0.399556786041
Latitude and longitude: 37.1828, 138.8147; model output: 0.598958927099
Latitude and longitude: 37.3898, 138.6017; model output: 0.489937321544
Latitude and longitude: 36.6738, 139.4707; model output: 0.00147021579768
Latitude and longitude: 37.2088, 138.9040; model output: 0.59521958429
Latitude and longitude: 37.2672, 138.8597; model output: 0.326400854926
Latitude and longitude: 35.7577, 140.7222; model output: 0.734928561982
Latitude and longitude: 37.2467, 138.9440; model output: 0.906598666808
Latitude and longitude: 36.8890, 139.4095; model output: 0.258945847313
Latitude and longitude: 36.9225, 139.3935; model output: 0.251203064443
Latitude and longitude: 36.9492, 139.4225; model output: 0.52092210546
Latitude and longitude: 37.3958, 138.9427; model output: 0.9119120032
Latitude and longitude: 37.3962, 138.9900; model output: 0.00461872589578
Latitude and longitude: 37.3788, 139.0367; model output: 0.700243623312
Latitude and longitude: 37.4090, 139.0348; model output: 0.599882808768
Latitude and longitude: 37.2308, 139.2925; model output: 0.514161726929
Latitude and longitude: 37.5483, 138.9615; model output: 0.494922045893
Latitude and longitude: 36.9167, 139.7075; model output: 0.984322598634
Latitude and longitude: 37.7510, 138.8335; model output: 0.353652177695
Latitude and longitude not available, model output: 0.279702307158
Latitude and longitude: 36.9117, 139.8442; model output: 0.792393007643
Latitude and longitude not available, model output: 0.607521342082
Latitude and longitude: 37.5592, 139.1912; model output: 0.15843619591
Latitude and longitude: 37.0098, 139.8498; model output: 0.0843671709703
Latitude and longitude not available, model output: 0.858034364087
Latitude and longitude: 37.4000, 139.4588; model output: 0.906563846277
Latitude and longitude: 37.0432, 139.9232; model output: 0.21303706934
Latitude and longitude: 37.1345, 139.8443; model output: 0.0211392646157
Latitude and longitude not available, model output: 0.387185546235
Latitude and longitude not available, model output: 0.97836381261
